roles,organizations,docs_avoided
secretário de estado,Alfândega ,PASSAPORTE 
governador,Câmara,PAUTA 
ouvidor-geral,Ouvidoria,MINUTA 
soldado,Fazenda Real,LISTA 
capitão-mor,Relação da Bahia,DESPACHO 
procurador,Conselho Ultramarino,RECIBO
príncipe regente,Relação do Rio de Janeiro,CONTRATO
juiz,Casa de Suplicação,TRASLADO
tabelião,Mesa do Desembargo do Paço,BILHETE
vice-rei,Conselho Ultramarino,TERMO DE JURAMENTO
capitão-general,Regimento de Infantaria Auxiliar de Artilharia,PARECER 
almoxarife,Casa da Moeda,CERTIDÃO 
piloto,Público Judicial e Notas,DECRETO 
medidor e demarcador,"Casa da Suplicação, Terço",PORTARIA
administrador,Fazenda Real,PATENTE
segundo tenente,Companhia do Regimento de Infantaria,CARTA PATENTE 
sargento-mor,Senado,MAPA
caixa,Regimento Auxiliar,
mestre,senado da câmara,
intendente,colégio da Companhia de Jesus,
morador,"Crime da Corte,",
oficial,Companhia de Jesus,
cavaleiro,Regimento de Artilharia,
senhorio,Irmandade,
oficial-mor,terço ,
comandante,Cavalos da Ordenança ,
coronel,Cortes Gerais e Extraordinárias da Nação Portuguesa,
presidente,Companhia de Jesus,
desembargador,Ordem de Cristo Junta da Real Fazenda da Marinha,
prático,Fazenda Real,
capitão,Casa de Fundição,
secretário,Hábito de Cristo,
rei,Mesa da Consciência,
rainha,,
alferes ,,
ajudante ,,
juiz de Fora,,
bacharel  ,,
bispo ,,
provedor,,
Irmãos,,
soldado ,,
granadeiro,,
capitão-donatário ,,
secretário de estado do Reino e Mercês,,
secretário de Estado dos Negócios da Marinha e Domínios Ultramarinos,,
sargento-mor,,
administrador ,,
padre,,
juiz de Fora,,
almoxarife ,,
piloto cavaleiro,,
tabelião intendente ,,
mestre morador oficial-mor,,
secretário de Estado da Marinha e Ultramar,,
governador interino,,
juiz,,
oficiais ,,
fiscal,,
procurador ,,
Coronel ,,
tenente,,
escrivão ,,
capitão-general ,,
provedor ,,
tenente-coronel,,
soldado,,
sargento-mor,,
engenheiro ,,
chanceler,,
guarda-mor,,
Fr.,,
escrivão proprietário,,
comandante  ,,
Ouvidor-mor,,
Provedor-mor,,
Capitão-mor,,
Governador geral,,
Provedor mor,,
Comissário interino das Demarcações de Limites,,
capitão,,
Ordenança ,,
frei,,
juiz ,,
corregedor,,
vice-rei do Estado do Brasil,,
tenente,,
coronel,,
desembargador ,,
sargento-mor ,,
ministro,,
comandante ,,
coronel,,
ajudante,,
secretário de Estado dos Negócios Estrangeiros e da Guerra ,,
vice-rei ,,
tesoureiro,,
conselheiro ,,
desembargador,,
corregedor,,
